trade_code
000796
001121
001559
001608
002094
002144
002196
002207
002556
002583
002907
002973
002975
003242
003299
003578
003625
003633
003638
003714
003858
003985
004193
004273
004277
004344
004375
004379
004381
004510
004512
004522
004676
004706
519173
519176
519956
004783
004785
004804
004808
004828
004846
004858
